,Feature,Lasso Coefficient,Ridge Coefficient,ElasticNet Coefficient
0,team_score_home,0.8921444294463505,3.34249362254654,1.7580667189143648
1,assists_home,0.0,0.6326909048186368,0.6515916739488667
2,blocks_home,-0.0,-0.10492957052453873,-0.34981265350068913
3,defensive_rebounds_home,0.0,1.8731592560695758,0.8959154758206798
4,fast_break_points_home,-0.014331635400141832,-0.2529719540021131,-0.1807309674931311
5,field_goals_made_home,0.0,3.4601605506279953,2.0390437943707336
6,field_goals_attempted_home,0.0,0.9227954216264143,0.11786232609434116
7,flagrant_fouls_home,0.0,1.3760760590838577,-0.057847736415596006
8,fouls_home,0.0,-0.08445664692636447,0.1468179219649382
9,free_throws_made_home,0.0,0.6687746311360779,0.6701819635015523
10,free_throws_attempted_home,0.0,0.530941259867876,0.23034149375390053
11,offensive_rebounds_home,0.0,-0.3596420250197171,0.19366091636342153
12,points_in_paint_home,-0.0,-0.3605013410260669,-0.1579674546895731
13,steals_home,0.0,0.34883931332577256,0.16284465931547656
14,team_turnovers_home,-0.0,-0.5604797609700432,0.9304448645489724
15,technical_fouls_home,0.0,0.1451736488790559,0.2585081173284079
16,three_point_field_goals_made_home,-0.0,2.3962797977203096,1.4391189318999504
17,three_point_field_goals_attempted_home,-0.05188102026948261,0.1025929405964278,0.1863887760866844
18,total_rebounds_home,0.0,0.8402449126588403,-0.42377107840933653
19,total_technical_fouls_home,0.0,0.14517364887905024,0.2876804697916272
20,turnover_points_home,0.0,-0.0061843187719408405,-0.4181701589455639
21,turnovers_home,0.0,-1.317899126160158,-0.7180243272397069
22,opponent_team_score_home,-1.1388049305736196,-2.6473090819453007,-3.8547258636321797
23,opponent_assists_home,-0.0,-1.2046437102919572,-0.9947734136604722
24,opponent_blocks_home,-0.0,-0.29038232015479276,-0.9142118662955633
25,opponent_defensive_rebounds_home,-0.0,-0.3763185733871706,-2.1901184676364798
26,opponent_fast_break_points_home,-0.0,0.0011279190611654358,-0.34029019279808265
27,opponent_field_goals_made_home,-0.0,-2.8829560948381148,-2.9064547443215503
28,opponent_field_goals_attempted_home,-0.0,-0.09286218097673801,-0.5115568746188581
29,opponent_flagrant_fouls_home,-0.0,-1.139439945036802,-0.2696837111478548
30,opponent_fouls_home,0.0,0.27507840283162277,0.14021795648183197
31,opponent_free_throws_made_home,0.0,-0.6944739205466933,-0.70937608666413
32,opponent_free_throws_attempted_home,0.0,-0.09971205687390255,-0.4089770863651134
33,opponent_offensive_rebounds_home,-0.0,-0.12253086335630914,0.0063884770124622535
34,opponent_points_in_paint_home,-0.0,-0.5122625054678275,-0.1396290188584353
35,opponent_steals_home,-0.0,0.3505587319479662,-0.18601562230786906
36,opponent_team_turnovers_home,0.0,-0.5511297548448035,-0.624230314612294
37,opponent_technical_fouls_home,0.0,0.29174749775107844,0.2913923956142864
38,opponent_three_point_field_goals_made_home,-0.0,-1.4800443615841434,-0.732069671225046
39,opponent_three_point_field_goals_attempted_home,-0.027924014930374257,0.695923849692097,0.04550143119270307
40,opponent_total_rebounds_home,-0.0,0.3693324787049182,0.4750614051500217
41,opponent_total_technical_fouls_home,0.0,0.2917474977510035,0.3006855555331184
42,opponent_turnover_points_home,-0.0,-0.6048351531252034,-0.4441318113615808
43,opponent_turnovers_home,0.0,0.6149820347408275,0.35918743074219744
44,Games_home,0.0,0.818019743626717,1.2347890787413656
45,Possessions_home,0.00014352363041499245,-0.8048268065734098,-0.6417559220156916
46,team_score_away,-0.882894234094556,-3.01031306040688,-1.7358918223619801
47,assists_away,0.0,-0.8885292905042927,-0.9337148207279506
48,blocks_away,-0.0,-0.3682931465815419,-0.05584573726597415
49,defensive_rebounds_away,-0.0,-2.1951373292930754,-0.7694926834829354
50,fast_break_points_away,-0.0,-0.6521192645877169,-0.7088320356244793
51,field_goals_made_away,-0.0,-3.07607519745867,-1.38938733354669
52,field_goals_attempted_away,0.02424511489425347,-0.6543722075316428,0.6962010889339326
53,flagrant_fouls_away,-0.0,-0.8302256559464193,0.0275387153797883
54,fouls_away,0.0,0.9992797303513052,0.2719576961365395
55,free_throws_made_away,-0.0,-1.196521467666703,-0.8465572125791534
56,free_throws_attempted_away,-0.0,-0.31777855975920377,-0.26816477427056684
57,offensive_rebounds_away,0.0,1.082086768098318,0.17549485770552561
58,points_in_paint_away,0.0,0.2405771474489951,-0.0
59,steals_away,-0.0,-0.5422828833088633,-0.0
60,team_turnovers_away,-0.02819498627960097,0.8884505634741562,-1.295532809891466
61,technical_fouls_away,0.0,-0.37240980158922676,-0.24992219416954833
62,three_point_field_goals_made_away,-0.0,-2.1246982181867544,-0.969102148562396
63,three_point_field_goals_attempted_away,0.0,0.7279565266531711,0.4963933611561404
64,total_rebounds_away,0.08590481255011977,-0.7465006219783523,0.3833003651870564
65,total_technical_fouls_away,0.0,-0.3724098015892294,-0.24145042622310314
66,turnover_points_away,0.0,0.4075573379052085,0.5425331898750825
67,turnovers_away,0.0,1.253015209436126,0.7376279963786182
68,opponent_team_score_away,1.255204585315522,3.122185811629471,4.432183706379166
69,opponent_assists_away,0.0,0.1190991260711575,0.7786814502924505
70,opponent_blocks_away,0.0,-0.3746568260654097,0.25138855234551044
71,opponent_defensive_rebounds_away,0.0,-0.06521894382051267,1.8884466681349346
72,opponent_fast_break_points_away,-0.0,0.2861673511401532,0.31666169888380596
73,opponent_field_goals_made_away,0.0,3.0244505725816557,3.1356984872137432
74,opponent_field_goals_attempted_away,0.03341458909261088,0.07309484222249092,0.40062254696070726
75,opponent_flagrant_fouls_away,0.0,0.6240509250561245,0.0034263736752369396
76,opponent_fouls_away,0.0,0.0009102537115486426,-0.14427064649102897
77,opponent_free_throws_made_away,0.0,1.4708320680572293,1.2081943595351738
78,opponent_free_throws_attempted_away,0.0,-0.29663594850355596,0.2500432873135061
79,opponent_offensive_rebounds_away,0.0,-0.19627597696231242,-0.04062643003366105
80,opponent_points_in_paint_away,0.0,0.13557453772397524,0.0
81,opponent_steals_away,0.0,0.33257995031124876,0.5742202931961394
82,opponent_team_turnovers_away,-0.013521610725651504,0.11147109344641233,0.5826662764282258
83,opponent_technical_fouls_away,-0.0,-0.048130119865284635,-0.0
84,opponent_three_point_field_goals_made_away,-0.0,1.9751492960165613,1.0539352473953365
85,opponent_three_point_field_goals_attempted_away,-0.005768215082120151,-1.203766080642411,-0.15402875210501132
86,opponent_total_rebounds_away,0.0,-0.8063849128266775,-0.7093162104896189
87,opponent_total_technical_fouls_away,-0.0,-0.048130119865279146,0.0
88,opponent_turnover_points_away,0.0,-0.4524566185899199,-0.06348081762720867
89,opponent_turnovers_away,0.0,-0.5624688611433104,-0.7142655130748511
90,Games_away,0.017267722941198663,0.6179771481948125,0.0
91,Possessions_away,0.0072621025191998275,0.44806487776087617,0.6388525900651136
92,MP,9.110290937556985e-05,0.004273326237075705,-0.0
93,new_LA_RAPM,5.940632740084771e-05,0.11701498346989617,0.14688042016379108
94,new_LA_RAPM__Def,-3.609489439523603e-05,0.12837862762992472,0.12018656423101716
95,new_LA_RAPM__Off,3.647958204200083e-05,0.08684010909852612,0.08079493994459212
96,new_RAPM,-4.535948838553978e-05,-0.04729803086284623,0.14685242271724802
97,new_RAPM__Def,5.430981349226873e-05,-0.016816308082576857,0.07776191627921618
98,new_RAPM__Off,-6.0331807010632855e-05,-0.06309839327581876,0.15443787213403068
99,lag 1,0.08408896701667792,0.6203632684631935,0.9997485317031899
100,team_change,0.0,0.0,0.0
101,team_Bucks,-0.0,-0.11217663971972026,-0.08243764719675191
102,team_Bulls,0.0,0.29951008986201677,0.20798273710586354
103,team_Cavaliers,0.0,0.23687419880183175,0.10405925593462374
104,team_Celtics,0.0,-0.08925284420272744,0.07688215817428595
105,team_Clippers,0.0,-0.12954413496332345,-0.07433432641701802
106,team_Grizzlies,0.0,0.5381979679993013,0.5958842364636932
107,team_Hawks,0.0,0.1013741266537558,0.09461747403701345
108,team_Heat,0.0,-0.08974250109974172,0.011447142115589073
109,team_Hornets,-0.0,-0.13101519488635038,-0.08775127088315322
110,team_Jazz,-0.0,0.07491956684543932,0.10355327813744665
111,team_Kings,-0.0,-0.24228030384749213,-0.2147333244353944
112,team_Knicks,-0.0,-0.4307573294036855,-0.4228048910371017
113,team_Lakers,0.0,0.1953714115548655,0.20267604529026761
114,team_Magic,-0.0,-0.20610984576559335,-0.2677888797292757
115,team_Mavericks,0.0,0.03544948044318469,0.0
116,team_Nets,0.0,0.004834086197447636,-0.08409660559589673
117,team_Nuggets,-0.0,0.11651588751723706,0.06054449688098312
118,team_Pacers,-0.0,-0.0964177358232901,-0.011447226286188267
119,team_Pelicans,-0.0,-0.11743828740860106,-0.21879738002357144
120,team_Pistons,0.0,-0.08548498627764607,-0.04730398322072856
121,team_Raptors,-0.0,-0.11620732770341172,-0.032771157757819566
122,team_Rockets,0.0,0.15997052447864069,0.13016097719621658
123,team_Spurs,-0.0,0.1388999372597659,0.28054923628489187
124,team_Suns,-0.0,0.07440290985293789,-0.0755995257985855
125,team_Thunder,-0.0,-0.1285002960303135,-0.17058893008879442
126,team_Timberwolves,-0.0,-0.6814292032278038,-0.6816929598756316
127,team_Trail Blazers,0.0,0.08263798321953231,0.12926797162354742
128,team_Warriors,-0.0,-0.13108152997332126,0.0932278595258542
129,team_Wizards,-0.0,-0.15816169942758218,-0.15773360771202694
130,season_2010,0.0,0.5937014266830154,1.0557536837038883
131,season_2011,0.0,0.5240767140792738,1.0202066287965312
132,season_2012,-0.0,-0.6255594317735872,0.0
133,season_2013,0.0,0.16555073879786247,0.01644082713730858
134,season_2014,0.0,-0.17029967820092634,-0.25286415483547364
135,season_2015,0.0,0.04457514918758684,-0.07558169698795435
136,season_2016,0.0,-0.06346045731805881,-0.2733095511316166
137,season_2017,-0.0,-0.19975418696720662,-0.48672757183517407
138,season_2018,0.0,-0.15604082410920841,-0.13644302103456676
139,season_2019,-0.0,-0.10810992624368707,-0.5757504223951952
140,season_2020,0.0,0.0,0.0
141,season_2021,0.0,0.0,0.0
142,season_2022,0.0,0.0,0.0
