,Feature,Lasso Coefficient,Ridge Coefficient,ElasticNet Coefficient
0,team_score_home,0.892144429,3.342493623,1.758066719
1,assists_home,0,0.632690905,0.651591674
2,blocks_home,0,-0.104929571,-0.349812654
3,defensive_rebounds_home,0,1.873159256,0.895915476
4,fast_break_points_home,-0.014331635,-0.252971954,-0.180730967
5,field_goals_made_home,0,3.460160551,2.039043794
6,field_goals_attempted_home,0,0.922795422,0.117862326
7,flagrant_fouls_home,0,1.376076059,-0.057847736
8,fouls_home,0,-0.084456647,0.146817922
9,free_throws_made_home,0,0.668774631,0.670181964
10,free_throws_attempted_home,0,0.53094126,0.230341494
11,offensive_rebounds_home,0,-0.359642025,0.193660916
12,points_in_paint_home,0,-0.360501341,-0.157967455
13,steals_home,0,0.348839313,0.162844659
14,team_turnovers_home,0,-0.560479761,0.930444865
15,technical_fouls_home,0,0.145173649,0.258508117
16,three_point_field_goals_made_home,0,2.396279798,1.439118932
17,three_point_field_goals_attempted_home,-0.05188102,0.102592941,0.186388776
18,total_rebounds_home,0,0.840244913,-0.423771078
19,total_technical_fouls_home,0,0.145173649,0.28768047
20,turnover_points_home,0,-0.006184319,-0.418170159
21,turnovers_home,0,-1.317899126,-0.718024327
22,opponent_team_score_home,-1.138804931,-2.647309082,-3.854725864
23,opponent_assists_home,0,-1.20464371,-0.994773414
24,opponent_blocks_home,0,-0.29038232,-0.914211866
25,opponent_defensive_rebounds_home,0,-0.376318573,-2.190118468
26,opponent_fast_break_points_home,0,0.001127919,-0.340290193
27,opponent_field_goals_made_home,0,-2.882956095,-2.906454744
28,opponent_field_goals_attempted_home,0,-0.092862181,-0.511556875
29,opponent_flagrant_fouls_home,0,-1.139439945,-0.269683711
30,opponent_fouls_home,0,0.275078403,0.140217956
31,opponent_free_throws_made_home,0,-0.694473921,-0.709376087
32,opponent_free_throws_attempted_home,0,-0.099712057,-0.408977086
33,opponent_offensive_rebounds_home,0,-0.122530863,0.006388477
34,opponent_points_in_paint_home,0,-0.512262505,-0.139629019
35,opponent_steals_home,0,0.350558732,-0.186015622
36,opponent_team_turnovers_home,0,-0.551129755,-0.624230315
37,opponent_technical_fouls_home,0,0.291747498,0.291392396
38,opponent_three_point_field_goals_made_home,0,-1.480044362,-0.732069671
39,opponent_three_point_field_goals_attempted_home,-0.027924015,0.69592385,0.045501431
40,opponent_total_rebounds_home,0,0.369332479,0.475061405
41,opponent_total_technical_fouls_home,0,0.291747498,0.300685556
42,opponent_turnover_points_home,0,-0.604835153,-0.444131811
43,opponent_turnovers_home,0,0.614982035,0.359187431
44,Games_home,0,0.818019744,1.234789079
45,Possessions_home,0.000143524,-0.804826807,-0.641755922
46,team_score_away,-0.882894234,-3.01031306,-1.735891822
47,assists_away,0,-0.888529291,-0.933714821
48,blocks_away,0,-0.368293147,-0.055845737
49,defensive_rebounds_away,0,-2.195137329,-0.769492683
50,fast_break_points_away,0,-0.652119265,-0.708832036
51,field_goals_made_away,0,-3.076075197,-1.389387334
52,field_goals_attempted_away,0.024245115,-0.654372208,0.696201089
53,flagrant_fouls_away,0,-0.830225656,0.027538715
54,fouls_away,0,0.99927973,0.271957696
55,free_throws_made_away,0,-1.196521468,-0.846557213
56,free_throws_attempted_away,0,-0.31777856,-0.268164774
57,offensive_rebounds_away,0,1.082086768,0.175494858
58,points_in_paint_away,0,0.240577147,0
59,steals_away,0,-0.542282883,0
60,team_turnovers_away,-0.028194986,0.888450563,-1.29553281
61,technical_fouls_away,0,-0.372409802,-0.249922194
62,three_point_field_goals_made_away,0,-2.124698218,-0.969102149
63,three_point_field_goals_attempted_away,0,0.727956527,0.496393361
64,total_rebounds_away,0.085904813,-0.746500622,0.383300365
65,total_technical_fouls_away,0,-0.372409802,-0.241450426
66,turnover_points_away,0,0.407557338,0.54253319
67,turnovers_away,0,1.253015209,0.737627996
68,opponent_team_score_away,1.255204585,3.122185812,4.432183706
69,opponent_assists_away,0,0.119099126,0.77868145
70,opponent_blocks_away,0,-0.374656826,0.251388552
71,opponent_defensive_rebounds_away,0,-0.065218944,1.888446668
72,opponent_fast_break_points_away,0,0.286167351,0.316661699
73,opponent_field_goals_made_away,0,3.024450573,3.135698487
74,opponent_field_goals_attempted_away,0.033414589,0.073094842,0.400622547
75,opponent_flagrant_fouls_away,0,0.624050925,0.003426374
76,opponent_fouls_away,0,0.000910254,-0.144270646
77,opponent_free_throws_made_away,0,1.470832068,1.20819436
78,opponent_free_throws_attempted_away,0,-0.296635949,0.250043287
79,opponent_offensive_rebounds_away,0,-0.196275977,-0.04062643
80,opponent_points_in_paint_away,0,0.135574538,0
81,opponent_steals_away,0,0.33257995,0.574220293
82,opponent_team_turnovers_away,-0.013521611,0.111471093,0.582666276
83,opponent_technical_fouls_away,0,-0.04813012,0
84,opponent_three_point_field_goals_made_away,0,1.975149296,1.053935247
85,opponent_three_point_field_goals_attempted_away,-0.005768215,-1.203766081,-0.154028752
86,opponent_total_rebounds_away,0,-0.806384913,-0.70931621
87,opponent_total_technical_fouls_away,0,-0.04813012,0
88,opponent_turnover_points_away,0,-0.452456619,-0.063480818
89,opponent_turnovers_away,0,-0.562468861,-0.714265513
90,Games_away,0.017267723,0.617977148,0
91,Possessions_away,0.007262103,0.448064878,0.63885259
92,MP,9.11E-05,0.004273326,0
93,new_LA_RAPM,5.94E-05,0.117014983,0.14688042
94,new_LA_RAPM__Def,-3.61E-05,0.128378628,0.120186564
95,new_LA_RAPM__Off,3.65E-05,0.086840109,0.08079494
96,new_RAPM,-4.54E-05,-0.047298031,0.146852423
97,new_RAPM__Def,5.43E-05,-0.016816308,0.077761916
98,new_RAPM__Off,-6.03E-05,-0.063098393,0.154437872
99,lag 1,0.084088967,0.620363268,0.999748532
100,team_change,0,0,0
101,team_Bucks,0,-0.11217664,-0.082437647
102,team_Bulls,0,0.29951009,0.207982737
103,team_Cavaliers,0,0.236874199,0.104059256
104,team_Celtics,0,-0.089252844,0.076882158
105,team_Clippers,0,-0.129544135,-0.074334326
106,team_Grizzlies,0,0.538197968,0.595884236
107,team_Hawks,0,0.101374127,0.094617474
108,team_Heat,0,-0.089742501,0.011447142
109,team_Hornets,0,-0.131015195,-0.087751271
110,team_Jazz,0,0.074919567,0.103553278
111,team_Kings,0,-0.242280304,-0.214733324
112,team_Knicks,0,-0.430757329,-0.422804891
113,team_Lakers,0,0.195371412,0.202676045
114,team_Magic,0,-0.206109846,-0.26778888
115,team_Mavericks,0,0.03544948,0
116,team_Nets,0,0.004834086,-0.084096606
117,team_Nuggets,0,0.116515888,0.060544497
118,team_Pacers,0,-0.096417736,-0.011447226
119,team_Pelicans,0,-0.117438287,-0.21879738
120,team_Pistons,0,-0.085484986,-0.047303983
121,team_Raptors,0,-0.116207328,-0.032771158
122,team_Rockets,0,0.159970524,0.130160977
123,team_Spurs,0,0.138899937,0.280549236
124,team_Suns,0,0.07440291,-0.075599526
125,team_Thunder,0,-0.128500296,-0.17058893
126,team_Timberwolves,0,-0.681429203,-0.68169296
127,team_Trail Blazers,0,0.082637983,0.129267972
128,team_Warriors,0,-0.13108153,0.09322786
129,team_Wizards,0,-0.158161699,-0.157733608
130,season_2010,0,0.593701427,1.055753684
131,season_2011,0,0.524076714,1.020206629
132,season_2012,0,-0.625559432,0
133,season_2013,0,0.165550739,0.016440827
134,season_2014,0,-0.170299678,-0.252864155
135,season_2015,0,0.044575149,-0.075581697
136,season_2016,0,-0.063460457,-0.273309551
137,season_2017,0,-0.199754187,-0.486727572
138,season_2018,0,-0.156040824,-0.136443021
139,season_2019,0,-0.108109926,-0.575750422
140,season_2020,0,0,0
141,season_2021,0,0,0
142,season_2022,0,0,0