"Player","2020/21","2021/22","2022/23","2023/24","playerId","playerName","ridge_normalized","lasso_normalized","elastic_net_normalized","position"
"AaronGordon",18136364,16409091,20690909,21266182,203932,"Aaron Gordon",92,103,90,"Forward"
"AaronHoliday",2345640,3980551,1968175,2346614,1628988,"Aaron Holiday",98,91,95,"Guard"
"AaronNesmith",3458400,3631200,3804360,5634257,1630174,"Aaron Nesmith",98,99,93,"Guard"
"AaronWiggins",NA,1305761,1563518,1836096,1630598,"Aaron Wiggins",100,100,96,"Guard"
"AbdelNader",1752950,2e+06,NA,NA,1627846,"Abdel Nader",91,94,89,"Forward"
"AdmiralSchofield",1517981,723741,877940,559782,1629678,"Admiral Schofield",95,96,89,"Forward"
"AJGreen",NA,NA,508891,1901769,1631260,"AJ Green",91,94,93,"Guard"
"AJGriffin",NA,NA,3536160,3712920,1631100,"AJ Griffin",103,95,100,"Forward"
"AlHorford",27500000,2.7e+07,26500000,1e+07,201143,"Al Horford",92,121,101,"Forward"
"AlFarouqAminu",9720900,10335621,NA,NA,202329,"Al-Farouq Aminu",88,99,92,"Forward"
"AlecBurks",6e+06,9536000,10012800,10489600,202692,"Alec Burks",97,98,93,"Guard"
"AleksejPokusevski",2964840,3113160,3261480,5574809,1630197,"Aleksej Pokusevski",97,94,99,"Forward"
"AlexCaruso",2750000,8600000,9030000,9460000,1627936,"Alex Caruso",91,94,91,"Guard"
"AlexLen",3970648,3732000,3918600,3196448,203458,"Alex Len",87,101,85,"Center"
"AlfonzoMcKinnie",1762796,1090007,NA,NA,1628035,"Alfonzo McKinnie",97,104,91,"Forward"
"AlperenSengun",NA,3214680,3375360,3536280,1630578,"Alperen Sengun",99,105,97,"Center"
"AmirCoffey",578842,573576,3395062,3666667,1629599,"Amir Coffey",85,95,89,"Guard"
"AndersonVarejao",2141713,NA,NA,NA,2760,"Anderson Varejao",91,127,93,"Forward"
"AndreDrummond",28751774,2401537,3200000,3360000,203083,"Andre Drummond",91,121,93,"Center"
"AndreIguodala",1.5e+07,2641691,2905851,NA,2738,"Andre Iguodala",93,100,104,"Guard"
"AndreRoberson",411639,NA,NA,NA,203460,"Andre Roberson",89,102,87,"Guard"
"AndrewNembhard",NA,NA,2244111,2131905,1629614,"Andrew Nembhard",103,91,102,"Guard"
"AndrewNicholson",2844429,2844429,2844429,2844429,203094,"Andrew Nicholson",92,101,92,"Forward"
"AndrewWiggins",29542010,31579390,33616770,24330357,203952,"Andrew Wiggins",101,99,102,"Forward"
"AnferneeSimons",2252040,3938818,22321429,24107143,1629014,"Anfernee Simons",101,94,95,"Guard"
"AnthonyDavis",32742000,35361360,37980720,40600080,203076,"Anthony Davis",89,119,96,"Forward"
"AnthonyEdwards",9757440,10245480,10733400,13534817,1630162,"Anthony Edwards",118,91,116,"Guard"
"AnthonyGill",898310,1517981,1836090,1997238,1630264,"Anthony Gill",94,100,90,"Forward"
"AnthonyLamb",215330,136095,694878,NA,1630237,"Anthony Lamb",103,100,98,"Forward"
"AnthonyTolliver",614838,151821,NA,NA,201229,"Anthony Tolliver",100,107,96,"Forward"
"ArmoniBrooks",135362,1739065,50000,241285,1629717,"Armoni Brooks",104,94,96,"Guard"
"AronBaynes",7e+06,NA,NA,NA,203382,"Aron Baynes",90,102,88,"Forward"
"AustinReaves",NA,925258,1563518,12015150,1630559,"Austin Reaves",97,100,96,"Guard"
"AustinRivers",3929049,2401537,2905851,NA,203085,"Austin Rivers",94,92,92,"Guard"
"AveryBradley",5635000,2641691,NA,NA,202340,"Avery Bradley",85,93,85,"Guard"
"AyoDosunmu",NA,925258,1563518,6481482,1630245,"Ayo Dosunmu",107,93,102,"Guard"
"BamAdebayo",5115492,28103500,30351780,32600060,1628389,"Bam Adebayo",87,111,90,"Forward"
"BenMcLemore",2893630,2389641,NA,NA,203463,"Ben McLemore",105,95,98,"Guard"
"BenSimmons",30559200,33003936,35448672,37893408,1627732,"Ben Simmons",89,105,107,"Guard"
"BennedictMathurin",NA,NA,6586800,6916080,1631097,"Bennedict Mathurin",109,95,105,"Guard"
"BismackBiyombo",3500000,1518213,2905851,6194075,202687,"Bismack Biyombo",83,112,86,"Center"
"BlakeGriffin",33900241,32405817,2905851,NA,201933,"Blake Griffin",99,125,108,"Forward"
"BlakeWesley",NA,NA,2385480,2504640,1631104,"Blake Wesley",93,91,93,"Guard"
"BobanMarjanovic",3500000,3500000,4101478,2891467,1626246,"Boban Marjanovic",90,106,89,"Center"
"BobbyPortis",3623000,4347600,10843350,11710818,1626171,"Bobby Portis",103,112,95,"Forward"
"BogdanBogdanovic",1.8e+07,1.8e+07,1.8e+07,18700000,203992,"Bogdan Bogdanovic",106,91,105,"Guard"
"BojanBogdanovic",17850000,18700000,19550000,2e+07,202711,"Bojan Bogdanovic",102,96,99,"Forward"
"BolBol",2058240,2161152,2200000,2165000,1629626,"Bol Bol",87,93,86,"Forward"
"BonesHyland",NA,2096880,2201520,2306400,1630538,"Bones Hyland",110,91,105,"Guard"
"BradWanamaker",2250000,814918,NA,NA,202954,"Brad Wanamaker",90,94,91,"Guard"
"BradleyBeal",28751774,33724200,43279250,46741590,203078,"Bradley Beal",105,95,105,"Guard"
"BrandonClarke",2602920,2726880,4343919,12500000,1629634,"Brandon Clarke",115,111,113,"Forward"
"BrandonGoodwin",1701593,343988,NA,NA,1629164,"Brandon Goodwin",97,94,93,"Guard"
"BrandonIngram",27285000,29467800,31650600,33833400,1627742,"Brandon Ingram",98,98,97,"Forward"
"BrandonKnight",NA,274672,NA,NA,202688,"Brandon Knight",108,87,106,"Guard"
"BrodricThomas",412202,462629,NA,NA,1630271,"Brodric Thomas",94,94,90,"Guard"
"BrookLopez",12697675,13302325,13906976,2.5e+07,201572,"Brook Lopez",103,107,105,"Center"
"BruceBrown",1663861,4736102,6479000,2.2e+07,1628971,"Bruce Brown",95,99,92,"Guard"
"BrunoCaboclo",2028594,NA,NA,NA,203998,"Bruno Caboclo",125,103,116,"Forward"
"BrunoFernando",1517981,1782621,2717391,2581522,1628981,"Bruno Fernando",93,104,89,"Forward"
"BryceMcGowens",NA,NA,1461055,1719864,1631121,"Bryce McGowens",93,95,91,"Guard"
"BrynForbes",2337145,4500000,2298385,NA,1627854,"Bryn Forbes",91,93,87,"Guard"
"BuddyHield",24931817,23073234,21177750,19321859,1627741,"Buddy Hield",105,94,102,"Guard"
"CadeCunningham",NA,10050120,10552800,11055360,1630595,"Cade Cunningham",115,88,117,"Guard"
"CalebHoustan",NA,NA,2e+06,2e+06,1631216,"Caleb Houstan",98,98,92,"Guard"
"CalebMartin",1517981,844011,6479000,6802950,1628997,"Caleb Martin",93,98,90,"Forward"
"CamReddish",4458000,4670160,5954454,2165000,1629629,"Cam Reddish",105,94,102,"Guard"
"CamThomas",NA,2036280,2138160,2240160,1630560,"Cam Thomas",95,95,93,"Guard"
"CameronJohnson",4235160,4437000,5887899,25679348,1629661,"Cameron Johnson",107,99,101,"Forward"
"CameronPayne",1977011,6500000,6e+06,9391467,1626166,"Cameron Payne",95,93,92,"Guard"
"CarisLeVert",16203704,17500000,18796296,15384616,1627747,"Caris LeVert",99,96,98,"Guard"
"CarmeloAnthony",2564753,2641691,NA,NA,2546,"Carmelo Anthony",112,102,116,"Forward"
"CarsenEdwards",1517981,1859365,NA,NA,1629035,"Carsen Edwards",91,94,89,"Guard"
"CediOsman",8840580,8133334,7426088,6718842,1626224,"Cedi Osman",95,97,91,"Forward"
"ChandlerHutchison",2443440,4224186,NA,NA,1628990,"Chandler Hutchison",97,105,93,"Guard"
"CharlesBassey",NA,925258,2674742,2600000,1629646,"Charles Bassey",93,112,93,"Forward"
"ChassonRandle",279927,NA,NA,NA,1626184,"Chasson Randle",100,91,94,"Guard"
"CheickDiallo",NA,102831,NA,NA,1627767,"Cheick Diallo",88,106,87,"Forward"
"ChimezieMetu",910895,1762796,1910860,2697258,1629002,"Chimezie Metu",94,101,92,"Forward"
"ChrisBoucher",6500000,7020000,12690000,11750000,1628449,"Chris Boucher",97,109,94,"Forward"
"ChrisChiozza",449115,462629,NA,NA,1629185,"Chris Chiozza",92,92,90,"Guard"
"ChrisClemons",1517981,85578,NA,NA,1629598,"Chris Clemons",97,91,93,"Guard"
"ChrisDuarte",NA,3749400,3936960,4124400,1630537,"Chris Duarte",108,95,107,"Guard"
"ChrisPaul",41358814,30800000,28400000,30800000,101108,"Chris Paul",100,93,112,"Guard"
"ChrisSilva",1517981,479650,211045,NA,1629735,"Chris Silva",90,103,87,"Forward"
"ChristianBraun",NA,NA,2808600,2949120,1631128,"Christian Braun",91,100,90,"Guard"
"ChristianKoloko",NA,NA,1500000,1719864,1631132,"Christian Koloko",93,106,89,"Center"
"ChristianWood",13015874,13666667,14317459,2709849,1626174,"Christian Wood",100,109,102,"Forward"
"ChumaOkeke",3121080,3277080,3433320,5266712,1629643,"Chuma Okeke",93,102,97,"Forward"
"CJElleby",898310,1517981,NA,NA,1629604,"CJ Elleby",96,102,92,"Guard"
"CJMcCollum",29354152,30864198,33333333,35802469,203468,"CJ McCollum",100,91,94,"Guard"
"CJMiles",NA,151821,NA,NA,101139,"CJ Miles",112,95,106,"Guard"
"ClintCapela",1.8e+07,17603448,18206896,20616000,203991,"Clint Capela",95,118,93,"Center"
"CobyWhite",5572680,5837760,7413955,11111111,1629632,"Coby White",119,91,111,"Guard"
"CodyMartin",1517981,1782621,7e+06,7560000,1628998,"Cody Martin",94,100,92,"Forward"
"CodyZeller",15415730,2389641,743922,3196448,203469,"Cody Zeller",90,106,89,"Forward"
"ColeAldrich",685340,NA,NA,NA,202332,"Cole Aldrich",88,102,87,"Center"
"ColeAnthony",3285120,3449400,3613680,5539771,1630175,"Cole Anthony",102,95,103,"Guard"
"CollinSexton",4991880,6349671,16700000,17525000,1629012,"Collin Sexton",112,88,108,"Guard"
"CoreyKispert",NA,3383640,3552840,3722040,1630557,"Corey Kispert",104,97,100,"Forward"
"CoryJoseph",12600000,7310000,5155500,3196448,202709,"Cory Joseph",87,96,89,"Guard"
"CristianoFelicio",7529020,NA,NA,NA,1626245,"Cristiano Felicio",96,105,91,"Forward"
"DAngeloRussell",28649250,30013500,31377750,17307693,1626156,"DAngelo Russell",106,88,106,"Guard"
"DaishenNix",NA,923078,1563518,559782,1630227,"Daishen Nix",95,90,93,"Guard"
"DakariJohnson",459414,NA,NA,NA,1626177,"Dakari Johnson",88,99,85,"Center"
"DalanoBanton",NA,925258,1563518,2019706,1630625,"Dalano Banton",90,97,89,"Forward"
"DalenTerry",NA,NA,3191400,3350760,1631207,"Dalen Terry",97,96,90,"Forward"
"DamianJones",1487284,1977011,2298385,2586665,1627745,"Damian Jones",94,107,88,"Center"
"DamianLillard",31626953,39344900,42492492,45640084,203081,"Damian Lillard",117,82,121,"Guard"
"DamionLee",1762796,1910860,2133278,2528233,1627814,"Damion Lee",94,97,91,"Guard"
"DamyeanDotson",2e+06,205662,NA,NA,1628422,"Damyean Dotson",91,97,89,"Guard"
"DanielGafford",1517981,1782621,1930681,12402000,1629655,"Daniel Gafford",100,102,93,"Forward"
"DanielTheis",5e+06,8280351,8694369,9108387,1628464,"Daniel Theis",95,106,92,"Forward"
"DaniloGallinari",19500000,20475000,19479000,7850062,201568,"Danilo Gallinari",108,99,105,"Forward"
"DannyGreen",15365853,1e+07,11710528,202074,201980,"Danny Green",103,98,103,"Guard"
"DanteExum",9600000,NA,NA,3e+06,203957,"Dante Exum",102,89,98,"Guard"
"DaQuanJeffries",1445697,95930,799403,1341538,1629610,"DaQuan Jeffries",97,99,92,"Guard"
"DarioSaric",9250000,8510000,9240000,2709849,203967,"Dario Saric",104,101,104,"Forward"
"DariusBazley",2399160,2513040,4264628,624425,1629647,"Darius Bazley",88,102,91,"Forward"
"DariusGarland",6720720,7040880,8920794,34005250,1629636,"Darius Garland",110,82,109,"Guard"
"DariusMiller",7e+06,NA,NA,NA,203121,"Darius Miller",93,96,89,"Forward"
"DarrenCollison",NA,151821,NA,NA,201954,"Darren Collison",91,89,101,"Guard"
"DavidNwaba",1824003,4650000,5022000,NA,1628021,"David Nwaba",101,106,96,"Guard"
"DavidRoddy",NA,NA,2588640,2718240,1631223,"David Roddy",120,97,110,"Forward"
"DavionMitchell",NA,4603200,4833600,5063640,1630558,"Davion Mitchell",105,89,103,"Guard"
"DavisBertans",1.5e+07,1.6e+07,1.6e+07,1.7e+07,202722,"Davis Bertans",96,94,93,"Forward"
"DavonReed",NA,532398,1902133,NA,1628432,"Davon Reed",94,98,92,"Guard"
"DayRonSharpe",NA,2009160,2109480,2210040,1630549,"DayRon Sharpe",98,113,93,"Center"
"DeAaronFox",8099627,28103500,30351780,32600060,1628368,"DeAaron Fox",98,89,100,"Guard"
"DeAndreHunter",7422000,7775400,9835881,20089286,1629631,"DeAndre Hunter",112,96,106,"Guard"
"DeAnthonyMelton",9571712,8805976,8250000,8e+06,1629001,"DeAnthony Melton",94,94,94,"Guard"
"DeanWade",1517981,1782621,1930681,5709877,1629731,"Dean Wade",97,100,94,"Forward"
"DeandreAyton",10018200,12632950,30913750,32459438,1629028,"Deandre Ayton",96,125,101,"Center"
"DeAndreBembry",1737145,2271045,NA,NA,1627761,"DeAndre Bembry",87,97,86,"Guard"
"DeAndreJordan",10375678,11109327,10733758,3196448,201599,"DeAndre Jordan",91,118,95,"Center"
"DejounteMurray",14286000,15428880,17071120,18214000,1627749,"Dejounte Murray",90,92,90,"Guard"
"DelonWright",9e+06,8526316,7804878,8195122,1626153,"Delon Wright",93,96,98,"Guard"
"DeMarDeRozan",27739975,2.6e+07,27300000,28600000,201942,"DeMar DeRozan",97,97,100,"Guard"
"DeMarcusCousins",3051832,2038942,NA,NA,202326,"DeMarcus Cousins",101,111,101,"Center"
"DeMarreCarroll",6119676,1242340,NA,NA,201960,"DeMarre Carroll",97,103,94,"Forward"
"DeniAvdija",4469160,4692840,4916160,6263188,1630166,"Deni Avdija",99,104,95,"Forward"
"DenzelValentine",4642800,1005633,NA,NA,1627756,"Denzel Valentine",109,95,100,"Guard"
"DeonteBurton",NA,NA,105522,NA,1629126,"Deonte Burton",90,95,88,"Guard"
"DerrickFavors",9258000,9720900,10350803,NA,202324,"Derrick Favors",96,112,90,"Forward"
"DerrickRose",7682926,13445120,14520730,3196448,201565,"Derrick Rose",121,85,126,"Guard"
"DerrickWhite",3516284,15678571,17142857,18857143,1628401,"Derrick White",96,97,101,"Guard"
"DesmondBane",1936440,2033160,2130240,3845083,1630217,"Desmond Bane",125,96,118,"Guard"
"DevinBooker",29467800,31650600,33833400,36016200,1626164,"Devin Booker",111,87,105,"Guard"
"DevinVassell",4033440,4235160,4437000,5887899,1630170,"Devin Vassell",94,99,92,"Guard"
"DevonteGraham",1663861,1.1e+07,11550000,12100000,1628984,"Devonte Graham",94,93,91,"Guard"
"DewayneDedmon",3447478,5256308,8283688,2748674,203473,"Dewayne Dedmon",90,108,87,"Center"
"DillonBrooks",11400000,12200000,11400000,22627671,1628415,"Dillon Brooks",126,94,117,"Guard"
"DionWaiters",12650000,NA,NA,NA,203079,"Dion Waiters",107,88,106,"Guard"
"DJAugustin",6666667,7622467,633938,NA,201571,"D.J. Augustin",101,89,104,"Guard"
"DJWilson",4548280,308493,250000,134863,1628391,"D.J. Wilson",91,105,94,"Forward"
"DomantasSabonis",19800000,18500000,21100000,29300000,1627734,"Domantas Sabonis",98,99,94,"Forward"
"DonovanMitchell",5195501,28103500,30913750,33162030,1628378,"Donovan Mitchell",124,85,122,"Guard"
"DonteDiVincenzo",3044160,4675830,4500000,10900000,1628978,"Donte DiVincenzo",95,101,102,"Guard"
"DorianFinneySmith",4e+06,4e+06,12939848,13932008,1627827,"Dorian Finney-Smith",95,99,92,"Forward"
"DougMcDermott",7333333,13750000,13750000,1.4e+07,203926,"Doug McDermott",100,95,91,"Forward"
"DraymondGreen",22246956,24026712,25806468,22321429,203110,"Draymond Green",91,102,88,"Forward"
"DrewEubanks",1620564,2239820,1968175,2346614,1629234,"Drew Eubanks",87,108,89,"Forward"
"DuaneWashingtonJr",NA,1346676,628802,443965,1630613,"Duane Washington Jr.",107,88,102,"Guard"
"DuncanRobinson",1663861,15650000,16902000,18154000,1629130,"Duncan Robinson",126,90,120,"Forward"
"DwayneBacon",1678854,NA,NA,NA,1628407,"Dwayne Bacon",87,98,88,"Guard"
"DwightHoward",2564753,2641691,NA,NA,2730,"Dwight Howard",103,130,112,"Forward"
"DwightPowell",11080125,11080125,11080125,4e+06,203939,"Dwight Powell",89,107,88,"Forward"
"DylanWindler",2137440,2239200,4037277,1116288,1629685,"Dylan Windler",96,99,94,"Guard"
"DysonDaniels",NA,NA,5508600,5784120,1630700,"Dyson Daniels",91,99,91,"Guard"
"DzananMusa",2002800,NA,NA,NA,1629058,"Dzanan Musa",93,96,91,"Guard"
"ETwaunMoore",2331593,2641691,NA,NA,202734,"ETwaun Moore",90,93,90,"Guard"
"EdDavis",5005350,2641691,NA,NA,202334,"Ed Davis",92,120,89,"Forward"
"EdmondSumner",2160000,2320000,1968175,40459,1628410,"Edmond Sumner",93,94,91,"Guard"
"ElfridPayton",4767000,2239544,NA,NA,203901,"Elfrid Payton",92,97,99,"Guard"
"ElijahHughes",898310,1517981,NA,NA,1630190,"Elijah Hughes",93,94,89,"Guard"
"EmmanuelMudiay",NA,111457,NA,NA,1626144,"Emmanuel Mudiay",103,85,107,"Guard"
"EnesKanter",5005350,2641691,NA,NA,202683,"Enes Kanter",88,108,86,"Center"
"EricBledsoe",16875000,18125000,1300000,1300000,202339,"Eric Bledsoe",85,91,95,"Guard"
"EricGordon",16869267,18218818,19568360,3196448,201569,"Eric Gordon",112,85,119,"Guard"
"EricPaschall",1517981,1782621,NA,NA,1629672,"Eric Paschall",102,101,99,"Forward"
"ErsanIlyasova",1194542,151821,NA,NA,101141,"Ersan Ilyasova",96,111,98,"Forward"
"EugeneOmoruyi",NA,281831,1013119,1459782,1630647,"Eugene Omoruyi",103,99,94,"Forward"
"EvanFournier",17150000,17142857,1.8e+07,18857143,203095,"Evan Fournier",98,91,94,"Guard"
"EvanMobley",NA,8075160,8478720,8882640,1630596,"Evan Mobley",93,114,101,"Center"
"FacundoCampazzo",3200000,3100000,464299,NA,1630267,"Facundo Campazzo",97,92,97,"Guard"
"FrankJackson",699115,3e+06,113114,NA,1628402,"Frank Jackson",100,95,96,"Guard"
"FrankKaminsky",1737145,2089448,2463490,NA,1626163,"Frank Kaminsky",95,103,94,"Forward"
"FrankNtilikina",6176578,1789256,2036318,2528233,1628373,"Frank Ntilikina",98,91,96,"Guard"
"FranzWagner",NA,5007840,5258280,5508720,1630532,"Franz Wagner",105,99,106,"Forward"
"FredVanVleet",21250000,19675926,21250000,40806300,1627832,"Fred VanVleet",89,95,88,"Guard"
"FurkanKorkmaz",1762796,4629630,5e+06,5370370,1627788,"Furkan Korkmaz",99,96,95,"Guard"
"GabeVincent",660750,1669178,1815677,10500000,1629216,"Gabe Vincent",97,92,94,"Guard"
